Sl,Name,Packing,Expiry,Qty,BillPrice,TValue
383,NUREX SF 100ML SYP,100ML,Mar-25,47,24.64,1158.08
384,GIOLIFE 12G,10S,Jun-25,20,53.1,1062
385,MINCOFOL 500 TAB,10s,Jul-25,70,15.12,1058.4
386,ROSID 10MG TAB,10S,Jun-25,60,16.8,1008
387,NUKIND ALOEVERA JUICE,500ML,Jan-25,9,91.72,825.48
388,ORTHOBST PAIN OIL 50ML,50ML,Aug-25,15,36.96,554.4
389,EVEE 600 SG,10s,Apr-25,20,25.96,519.2
390,DREX-DX SYP,100ML,Dec-24,20,21.84,436.8
391,BACIYES-SPORES SUSPENSION,5ML,Apr-25,1830,14.96,27376.8
392,VIZAGRA GO PRO TABLETS,4S,Aug-25,141,38.08,5369.28
393,MEDIFAIR CREAM,15GM,Feb-25,178,28,4984
394,MOXIBIN EYE DROP,5ML,Aug-25,359,13.59,4878.81
395,NUCACIUM SACHET,1 GM,Feb-25,800,5.32,4256
396,MEDICYES LEVETRON 500 TAB,10S,Aug-25,101,35.84,3619.84
397,FOAMING FACE WASH 150ML,150ML,Jun-25,15,165.2,2478
